会社名,担当者,電話番号,メールアドレス,prtimesのURL
株式会社NFTDrive,:中島理男,"",nftdrive01@gmail.com,https://prtimes.jp/main/html/rd/p/000000003.000119487.html
Liume株式会社,宇佐美,080-1675-3485,"",https://prtimes.jp/main/html/rd/p/000000004.000091641.html
C4 Connect株式会社,Moon.Mu,"",moon.mu@c4connect.co.jp,https://prtimes.jp/main/html/rd/p/000000087.000047782.html
株式会社おいしい健康,"","",press@oishi-kenko.com,https://prtimes.jp/main/html/rd/p/000000084.000043855.html
株式会社U-NEXT,桑名・伊東・中村(知),03-5563-8240,senden@paravi.jp,https://prtimes.jp/main/html/rd/p/000000697.000030674.html
AppBank株式会社,"","",koho@appbank.net,https://prtimes.jp/main/html/rd/p/000000079.000056785.html
東日本電信電話株式会社,"","",hiroyuki.ootake.mz@airportradio.co.jp,https://prtimes.jp/main/html/rd/p/000000624.000098811.html
ウェルヴィル株式会社,　山崎,"",contact@wellvill.com,https://prtimes.jp/main/html/rd/p/000000018.000066680.html
株式会社サイバード,"","",press@cybird.co.jp,https://prtimes.jp/main/html/rd/p/000002371.000001661.html
株式会社コロプラ,"",03-6721-7793,"",https://prtimes.jp/main/html/rd/p/000001333.000004473.html
株式会社Tixplus,"","",press@tixplus.co.jp,https://prtimes.jp/main/html/rd/p/000000375.000044168.html
株式会社サミーネットワークス,小田嶋、星山,03-6864-5400,press@sammy-net.jp,https://prtimes.jp/main/html/rd/p/000001528.000002703.html
